a,b,c,d,stairsum,len
31,3,23,11,64,8
31,3,24,10,64,9.1428571429
31,3,25,9,64,10.6666666667
31,3,26,8,64,12.8
31,3,27,7,64,16
31,3,28,6,64,21.3333333333
31,3,29,5,64,32
31,3,30,4,64,64
32,2,2,32,64,2.1333333333
32,2,3,31,64,2.2068965517
32,2,4,30,64,2.2857142857
32,2,5,29,64,2.3703703704
32,2,6,28,64,2.4615384615
32,2,7,27,64,2.56
32,2,8,26,64,2.6666666667
32,2,9,25,64,2.7826086957
32,2,10,24,64,2.9090909091
32,2,11,23,64,3.0476190476
32,2,12,22,64,3.2
32,2,13,21,64,3.3684210526
32,2,14,20,64,3.5555555556
32,2,15,19,64,3.7647058824
32,2,16,18,64,4
32,2,17,17,64,4.2666666667
32,2,18,16,64,4.5714285714
32,2,19,15,64,4.9230769231
32,2,20,14,64,5.3333333333
32,2,21,13,64,5.8181818182
32,2,22,12,64,6.4
32,2,23,11,64,7.1111111111
32,2,24,10,64,8
32,2,25,9,64,9.1428571429
32,2,26,8,64,10.6666666667
32,2,27,7,64,12.8
32,2,28,6,64,16
32,2,29,5,64,21.3333333333
32,2,30,4,64,32
32,2,31,3,64,64
3,32,2,33,66,66
4,31,2,33,66,33
4,31,3,32,66,66
5,30,2,33,66,22
5,30,3,32,66,33
5,30,4,31,66,66
6,29,2,33,66,16.5
6,29,3,32,66,22
6,29,4,31,66,33
6,29,5,30,66,66
7,28,2,33,66,13.2
7,28,3,32,66,16.5
7,28,4,31,66,22
7,28,5,30,66,33
7,28,6,29,66,66
8,27,2,33,66,11
8,27,3,32,66,13.2
8,27,4,31,66,16.5
8,27,5,30,66,22
8,27,6,29,66,33
8,27,7,28,66,66
9,26,2,33,66,9.4285714286
9,26,3,32,66,11
9,26,4,31,66,13.2
9,26,5,30,66,16.5
9,26,6,29,66,22
9,26,7,28,66,33
9,26,8,27,66,66
10,25,2,33,66,8.25
10,25,3,32,66,9.4285714286
10,25,4,31,66,11
10,25,5,30,66,13.2
10,25,6,29,66,16.5
10,25,7,28,66,22
10,25,8,27,66,33
10,25,9,26,66,66
11,24,2,33,66,7.3333333333
11,24,3,32,66,8.25
11,24,4,31,66,9.4285714286
11,24,5,30,66,11
11,24,6,29,66,13.2
11,24,7,28,66,16.5
11,24,8,27,66,22
11,24,9,26,66,33
11,24,10,25,66,66
12,23,2,33,66,6.6
12,23,3,32,66,7.3333333333
12,23,4,31,66,8.25
12,23,5,30,66,9.4285714286
12,23,6,29,66,11
12,23,7,28,66,13.2
12,23,8,27,66,16.5
12,23,9,26,66,22
12,23,10,25,66,33
12,23,11,24,66,66
13,22,2,33,66,6
13,22,3,32,66,6.6
13,22,4,31,66,7.3333333333
13,22,5,30,66,8.25
13,22,6,29,66,9.4285714286
13,22,7,28,66,11
13,22,8,27,66,13.2
13,22,9,26,66,16.5
13,22,10,25,66,22
13,22,11,24,66,33
13,22,12,23,66,66
14,21,2,33,66,5.5
14,21,3,32,66,6
14,21,4,31,66,6.6
14,21,5,30,66,7.3333333333
14,21,6,29,66,8.25
14,21,7,28,66,9.4285714286
14,21,8,27,66,11
14,21,9,26,66,13.2
14,21,10,25,66,16.5
14,21,11,24,66,22
14,21,12,23,66,33
14,21,13,22,66,66
15,20,2,33,66,5.0769230769
15,20,3,32,66,5.5
15,20,4,31,66,6
15,20,5,30,66,6.6
15,20,6,29,66,7.3333333333
15,20,7,28,66,8.25
15,20,8,27,66,9.4285714286
15,20,9,26,66,11
15,20,10,25,66,13.2
15,20,11,24,66,16.5
15,20,12,23,66,22
15,20,13,22,66,33
15,20,14,21,66,66
16,19,2,33,66,4.7142857143
16,19,3,32,66,5.0769230769
16,19,4,31,66,5.5
16,19,5,30,66,6
16,19,6,29,66,6.6
16,19,7,28,66,7.3333333333
16,19,8,27,66,8.25
16,19,9,26,66,9.4285714286
16,19,10,25,66,11
16,19,11,24,66,13.2
16,19,12,23,66,16.5
16,19,13,22,66,22
16,19,14,21,66,33
16,19,15,20,66,66
17,18,2,33,66,4.4
17,18,3,32,66,4.7142857143
17,18,4,31,66,5.0769230769
17,18,5,30,66,5.5
17,18,6,29,66,6
17,18,7,28,66,6.6
17,18,8,27,66,7.3333333333
17,18,9,26,66,8.25
17,18,10,25,66,9.4285714286
17,18,11,24,66,11
17,18,12,23,66,13.2
17,18,13,22,66,16.5
17,18,14,21,66,22
17,18,15,20,66,33
17,18,16,19,66,66
18,17,2,33,66,4.125
18,17,3,32,66,4.4
18,17,4,31,66,4.7142857143
18,17,5,30,66,5.0769230769
18,17,6,29,66,5.5
18,17,7,28,66,6
18,17,8,27,66,6.6
18,17,9,26,66,7.3333333333
18,17,10,25,66,8.25
18,17,11,24,66,9.4285714286
18,17,12,23,66,11
18,17,13,22,66,13.2
18,17,14,21,66,16.5
18,17,15,20,66,22
18,17,16,19,66,33
18,17,17,18,66,66
19,16,2,33,66,3.8823529412
19,16,3,32,66,4.125
19,16,4,31,66,4.4
19,16,5,30,66,4.7142857143
19,16,6,29,66,5.0769230769
19,16,7,28,66,5.5
19,16,8,27,66,6
19,16,9,26,66,6.6
19,16,10,25,66,7.3333333333
19,16,11,24,66,8.25
19,16,12,23,66,9.4285714286
19,16,13,22,66,11
19,16,14,21,66,13.2
19,16,15,20,66,16.5
19,16,16,19,66,22
19,16,17,18,66,33
19,16,18,17,66,66
20,15,2,33,66,3.6666666667
20,15,3,32,66,3.8823529412
20,15,4,31,66,4.125
20,15,5,30,66,4.4
20,15,6,29,66,4.7142857143
20,15,7,28,66,5.0769230769
20,15,8,27,66,5.5
20,15,9,26,66,6
20,15,10,25,66,6.6
20,15,11,24,66,7.3333333333
20,15,12,23,66,8.25
20,15,13,22,66,9.4285714286
20,15,14,21,66,11
20,15,15,20,66,13.2
20,15,16,19,66,16.5
20,15,17,18,66,22
20,15,18,17,66,33
20,15,19,16,66,66
21,14,2,33,66,3.4736842105
21,14,3,32,66,3.6666666667
21,14,4,31,66,3.8823529412
21,14,5,30,66,4.125
21,14,6,29,66,4.4
21,14,7,28,66,4.7142857143
21,14,8,27,66,5.0769230769
21,14,9,26,66,5.5
21,14,10,25,66,6
21,14,11,24,66,6.6
21,14,12,23,66,7.3333333333
21,14,13,22,66,8.25
21,14,14,21,66,9.4285714286
21,14,15,20,66,11
21,14,16,19,66,13.2
21,14,17,18,66,16.5
21,14,18,17,66,22
21,14,19,16,66,33
21,14,20,15,66,66
22,13,2,33,66,3.3
22,13,3,32,66,3.4736842105
22,13,4,31,66,3.6666666667
22,13,5,30,66,3.8823529412
22,13,6,29,66,4.125
22,13,7,28,66,4.4
22,13,8,27,66,4.7142857143
22,13,9,26,66,5.0769230769
22,13,10,25,66,5.5
22,13,11,24,66,6
22,13,12,23,66,6.6
22,13,13,22,66,7.3333333333
22,13,14,21,66,8.25
22,13,15,20,66,9.4285714286
22,13,16,19,66,11
22,13,17,18,66,13.2
22,13,18,17,66,16.5
22,13,19,16,66,22
22,13,20,15,66,33
22,13,21,14,66,66
23,12,2,33,66,3.1428571429
23,12,3,32,66,3.3
23,12,4,31,66,3.4736842105
23,12,5,30,66,3.6666666667
23,12,6,29,66,3.8823529412
23,12,7,28,66,4.125
23,12,8,27,66,4.4
23,12,9,26,66,4.7142857143
23,12,10,25,66,5.0769230769
23,12,11,24,66,5.5
23,12,12,23,66,6
23,12,13,22,66,6.6
23,12,14,21,66,7.3333333333
23,12,15,20,66,8.25
23,12,16,19,66,9.4285714286
23,12,17,18,66,11
23,12,18,17,66,13.2
23,12,19,16,66,16.5
23,12,20,15,66,22
23,12,21,14,66,33
23,12,22,13,66,66
24,11,2,33,66,3
24,11,3,32,66,3.1428571429
24,11,4,31,66,3.3
24,11,5,30,66,3.4736842105
24,11,6,29,66,3.6666666667
24,11,7,28,66,3.8823529412
24,11,8,27,66,4.125
24,11,9,26,66,4.4
24,11,10,25,66,4.7142857143
24,11,11,24,66,5.0769230769
24,11,12,23,66,5.5
24,11,13,22,66,6
24,11,14,21,66,6.6
24,11,15,20,66,7.3333333333
24,11,16,19,66,8.25
24,11,17,18,66,9.4285714286
24,11,18,17,66,11
24,11,19,16,66,13.2
24,11,20,15,66,16.5
24,11,21,14,66,22
24,11,22,13,66,33
24,11,23,12,66,66
25,10,2,33,66,2.8695652174
25,10,3,32,66,3
25,10,4,31,66,3.1428571429
25,10,5,30,66,3.3
25,10,6,29,66,3.4736842105
25,10,7,28,66,3.6666666667
25,10,8,27,66,3.8823529412
25,10,9,26,66,4.125
25,10,10,25,66,4.4
25,10,11,24,66,4.7142857143
25,10,12,23,66,5.0769230769
25,10,13,22,66,5.5
25,10,14,21,66,6
25,10,15,20,66,6.6
25,10,16,19,66,7.3333333333
25,10,17,18,66,8.25
25,10,18,17,66,9.4285714286
25,10,19,16,66,11
25,10,20,15,66,13.2
25,10,21,14,66,16.5
25,10,22,13,66,22
25,10,23,12,66,33
25,10,24,11,66,66
26,9,2,33,66,2.75
26,9,3,32,66,2.8695652174
26,9,4,31,66,3
26,9,5,30,66,3.1428571429
26,9,6,29,66,3.3
26,9,7,28,66,3.4736842105
26,9,8,27,66,3.6666666667
26,9,9,26,66,3.8823529412
26,9,10,25,66,4.125
26,9,11,24,66,4.4
26,9,12,23,66,4.7142857143
26,9,13,22,66,5.0769230769
26,9,14,21,66,5.5
26,9,15,20,66,6
26,9,16,19,66,6.6
26,9,17,18,66,7.3333333333
26,9,18,17,66,8.25
26,9,19,16,66,9.4285714286
26,9,20,15,66,11
26,9,21,14,66,13.2
26,9,22,13,66,16.5
26,9,23,12,66,22
26,9,24,11,66,33
26,9,25,10,66,66
27,8,2,33,66,2.64
27,8,3,32,66,2.75
27,8,4,31,66,2.8695652174
27,8,5,30,66,3
27,8,6,29,66,3.1428571429
27,8,7,28,66,3.3
27,8,8,27,66,3.4736842105
27,8,9,26,66,3.6666666667
27,8,10,25,66,3.8823529412
27,8,11,24,66,4.125
27,8,12,23,66,4.4
27,8,13,22,66,4.7142857143
27,8,14,21,66,5.0769230769
27,8,15,20,66,5.5
27,8,16,19,66,6
27,8,17,18,66,6.6
27,8,18,17,66,7.3333333333
27,8,19,16,66,8.25
27,8,20,15,66,9.4285714286
27,8,21,14,66,11
27,8,22,13,66,13.2
27,8,23,12,66,16.5
27,8,24,11,66,22
27,8,25,10,66,33
27,8,26,9,66,66
28,7,2,33,66,2.5384615385
28,7,3,32,66,2.64
28,7,4,31,66,2.75
28,7,5,30,66,2.8695652174
28,7,6,29,66,3
28,7,7,28,66,3.1428571429
28,7,8,27,66,3.3
28,7,9,26,66,3.4736842105
28,7,10,25,66,3.6666666667
28,7,11,24,66,3.8823529412
28,7,12,23,66,4.125
28,7,13,22,66,4.4
28,7,14,21,66,4.7142857143
28,7,15,20,66,5.0769230769
28,7,16,19,66,5.5
28,7,17,18,66,6
28,7,18,17,66,6.6
28,7,19,16,66,7.3333333333
28,7,20,15,66,8.25
28,7,21,14,66,9.4285714286
28,7,22,13,66,11
28,7,23,12,66,13.2
28,7,24,11,66,16.5
28,7,25,10,66,22
28,7,26,9,66,33
28,7,27,8,66,66
29,6,2,33,66,2.4444444444
29,6,3,32,66,2.5384615385
29,6,4,31,66,2.64
29,6,5,30,66,2.75
29,6,6,29,66,2.8695652174
29,6,7,28,66,3
29,6,8,27,66,3.1428571429
29,6,9,26,66,3.3
29,6,10,25,66,3.4736842105
29,6,11,24,66,3.6666666667
29,6,12,23,66,3.8823529412
29,6,13,22,66,4.125
29,6,14,21,66,4.4
29,6,15,20,66,4.7142857143
29,6,16,19,66,5.0769230769
29,6,17,18,66,5.5
29,6,18,17,66,6
29,6,19,16,66,6.6
29,6,20,15,66,7.3333333333
29,6,21,14,66,8.25
29,6,22,13,66,9.4285714286
29,6,23,12,66,11
29,6,24,11,66,13.2
29,6,25,10,66,16.5
29,6,26,9,66,22
29,6,27,8,66,33
29,6,28,7,66,66
30,5,2,33,66,2.3571428571
30,5,3,32,66,2.4444444444
30,5,4,31,66,2.5384615385
30,5,5,30,66,2.64
30,5,6,29,66,2.75
30,5,7,28,66,2.8695652174
30,5,8,27,66,3
30,5,9,26,66,3.1428571429
30,5,10,25,66,3.3
30,5,11,24,66,3.4736842105
30,5,12,23,66,3.6666666667
30,5,13,22,66,3.8823529412
30,5,14,21,66,4.125
30,5,15,20,66,4.4
30,5,16,19,66,4.7142857143
30,5,17,18,66,5.0769230769
30,5,18,17,66,5.5
30,5,19,16,66,6
30,5,20,15,66,6.6
30,5,21,14,66,7.3333333333
30,5,22,13,66,8.25
30,5,23,12,66,9.4285714286
30,5,24,11,66,11
30,5,25,10,66,13.2
30,5,26,9,66,16.5
30,5,27,8,66,22
30,5,28,7,66,33
30,5,29,6,66,66
31,4,2,33,66,2.275862069
31,4,3,32,66,2.3571428571
31,4,4,31,66,2.4444444444
31,4,5,30,66,2.5384615385
31,4,6,29,66,2.64
31,4,7,28,66,2.75
31,4,8,27,66,2.8695652174
31,4,9,26,66,3
31,4,10,25,66,3.1428571429
31,4,11,24,66,3.3
31,4,12,23,66,3.4736842105
31,4,13,22,66,3.6666666667
31,4,14,21,66,3.8823529412
31,4,15,20,66,4.125
31,4,16,19,66,4.4
31,4,17,18,66,4.7142857143
31,4,18,17,66,5.0769230769
31,4,19,16,66,5.5
31,4,20,15,66,6
31,4,21,14,66,6.6
31,4,22,13,66,7.3333333333
31,4,23,12,66,8.25
31,4,24,11,66,9.4285714286
31,4,25,10,66,11
31,4,26,9,66,13.2
31,4,27,8,66,16.5
31,4,28,7,66,22
31,4,29,6,66,33
31,4,30,5,66,66
32,3,2,33,66,2.2
32,3,3,32,66,2.275862069
32,3,4,31,66,2.3571428571
32,3,5,30,66,2.4444444444
32,3,6,29,66,2.5384615385
32,3,7,28,66,2.64
32,3,8,27,66,2.75
32,3,9,26,66,2.8695652174
32,3,10,25,66,3
32,3,11,24,66,3.1428571429
32,3,12,23,66,3.3
32,3,13,22,66,3.4736842105
32,3,14,21,66,3.6666666667
32,3,15,20,66,3.8823529412
32,3,16,19,66,4.125
32,3,17,18,66,4.4
32,3,18,17,66,4.7142857143
32,3,19,16,66,5.0769230769
32,3,20,15,66,5.5
32,3,21,14,66,6
32,3,22,13,66,6.6
32,3,23,12,66,7.3333333333
32,3,24,11,66,8.25
32,3,25,10,66,9.4285714286
32,3,26,9,66,11
32,3,27,8,66,13.2
32,3,28,7,66,16.5
32,3,29,6,66,22
32,3,30,5,66,33
32,3,31,4,66,66
33,2,2,33,66,2.1290322581
33,2,3,32,66,2.2
33,2,4,31,66,2.275862069
33,2,5,30,66,2.3571428571
33,2,6,29,66,2.4444444444
33,2,7,28,66,2.5384615385
33,2,8,27,66,2.64
33,2,9,26,66,2.75
33,2,10,25,66,2.8695652174
33,2,11,24,66,3
33,2,12,23,66,3.1428571429
33,2,13,22,66,3.3
33,2,14,21,66,3.4736842105
33,2,15,20,66,3.6666666667
33,2,16,19,66,3.8823529412
33,2,17,18,66,4.125
33,2,18,17,66,4.4
33,2,19,16,66,4.7142857143
33,2,20,15,66,5.0769230769
33,2,21,14,66,5.5
33,2,22,13,66,6
33,2,23,12,66,6.6
33,2,24,11,66,7.3333333333
33,2,25,10,66,8.25
33,2,26,9,66,9.4285714286
33,2,27,8,66,11
33,2,28,7,66,13.2
33,2,29,6,66,16.5
33,2,30,5,66,22
33,2,31,4,66,33
33,2,32,3,66,66
3,33,2,34,68,68
4,32,2,34,68,34
4,32,3,33,68,68
5,31,2,34,68,22.6666666667
5,31,3,33,68,34
5,31,4,32,68,68
6,30,2,34,68,17
6,30,3,33,68,22.6666666667
6,30,4,32,68,34
6,30,5,31,68,68
7,29,2,34,68,13.6
7,29,3,33,68,17
7,29,4,32,68,22.6666666667
7,29,5,31,68,34
7,29,6,30,68,68
8,28,2,34,68,11.3333333333
8,28,3,33,68,13.6
8,28,4,32,68,17
8,28,5,31,68,22.6666666667
8,28,6,30,68,34
8,28,7,29,68,68
9,27,2,34,68,9.7142857143
9,27,3,33,68,11.3333333333
9,27,4,32,68,13.6
9,27,5,31,68,17
9,27,6,30,68,22.6666666667
9,27,7,29,68,34
9,27,8,28,68,68
10,26,2,34,68,8.5
10,26,3,33,68,9.7142857143
10,26,4,32,68,11.3333333333
10,26,5,31,68,13.6
10,26,6,30,68,17
10,26,7,29,68,22.6666666667
10,26,8,28,68,34
10,26,9,27,68,68
11,25,2,34,68,7.5555555556
11,25,3,33,68,8.5
11,25,4,32,68,9.7142857143
11,25,5,31,68,11.3333333333
11,25,6,30,68,13.6
11,25,7,29,68,17
11,25,8,28,68,22.6666666667
11,25,9,27,68,34
11,25,10,26,68,68
12,24,2,34,68,6.8
12,24,3,33,68,7.5555555556
12,24,4,32,68,8.5
12,24,5,31,68,9.7142857143
12,24,6,30,68,11.3333333333
12,24,7,29,68,13.6
12,24,8,28,68,17
12,24,9,27,68,22.6666666667
12,24,10,26,68,34
12,24,11,25,68,68
13,23,2,34,68,6.1818181818
13,23,3,33,68,6.8
13,23,4,32,68,7.5555555556
13,23,5,31,68,8.5
13,23,6,30,68,9.7142857143
13,23,7,29,68,11.3333333333
13,23,8,28,68,13.6
13,23,9,27,68,17
13,23,10,26,68,22.6666666667
13,23,11,25,68,34
13,23,12,24,68,68
14,22,2,34,68,5.6666666667
14,22,3,33,68,6.1818181818
14,22,4,32,68,6.8
14,22,5,31,68,7.5555555556
14,22,6,30,68,8.5
14,22,7,29,68,9.7142857143
14,22,8,28,68,11.3333333333
14,22,9,27,68,13.6
14,22,10,26,68,17
14,22,11,25,68,22.6666666667
14,22,12,24,68,34
14,22,13,23,68,68
15,21,2,34,68,5.2307692308
15,21,3,33,68,5.6666666667
15,21,4,32,68,6.1818181818
15,21,5,31,68,6.8
15,21,6,30,68,7.5555555556
15,21,7,29,68,8.5
15,21,8,28,68,9.7142857143
15,21,9,27,68,11.3333333333
15,21,10,26,68,13.6
15,21,11,25,68,17
15,21,12,24,68,22.6666666667
15,21,13,23,68,34
15,21,14,22,68,68
16,20,2,34,68,4.8571428571
16,20,3,33,68,5.2307692308
16,20,4,32,68,5.6666666667
16,20,5,31,68,6.1818181818
16,20,6,30,68,6.8
16,20,7,29,68,7.5555555556
16,20,8,28,68,8.5
16,20,9,27,68,9.7142857143
16,20,10,26,68,11.3333333333
16,20,11,25,68,13.6
16,20,12,24,68,17
16,20,13,23,68,22.6666666667
16,20,14,22,68,34
16,20,15,21,68,68
17,19,2,34,68,4.5333333333
17,19,3,33,68,4.8571428571
17,19,4,32,68,5.2307692308
17,19,5,31,68,5.6666666667
17,19,6,30,68,6.1818181818
17,19,7,29,68,6.8
17,19,8,28,68,7.5555555556
17,19,9,27,68,8.5
17,19,10,26,68,9.7142857143
17,19,11,25,68,11.3333333333
17,19,12,24,68,13.6
17,19,13,23,68,17
17,19,14,22,68,22.6666666667
17,19,15,21,68,34
17,19,16,20,68,68
18,18,2,34,68,4.25
18,18,3,33,68,4.5333333333
18,18,4,32,68,4.8571428571
18,18,5,31,68,5.2307692308
18,18,6,30,68,5.6666666667
18,18,7,29,68,6.1818181818
18,18,8,28,68,6.8
18,18,9,27,68,7.5555555556
18,18,10,26,68,8.5
18,18,11,25,68,9.7142857143
18,18,12,24,68,11.3333333333
18,18,13,23,68,13.6
18,18,14,22,68,17
18,18,15,21,68,22.6666666667
18,18,16,20,68,34
18,18,17,19,68,68
19,17,2,34,68,4
19,17,3,33,68,4.25
19,17,4,32,68,4.5333333333
19,17,5,31,68,4.8571428571
19,17,6,30,68,5.2307692308
19,17,7,29,68,5.6666666667
19,17,8,28,68,6.1818181818
19,17,9,27,68,6.8
19,17,10,26,68,7.5555555556
19,17,11,25,68,8.5
19,17,12,24,68,9.7142857143
19,17,13,23,68,11.3333333333
19,17,14,22,68,13.6
19,17,15,21,68,17
19,17,16,20,68,22.6666666667
19,17,17,19,68,34
19,17,18,18,68,68
20,16,2,34,68,3.7777777778
20,16,3,33,68,4
20,16,4,32,68,4.25
20,16,5,31,68,4.5333333333
20,16,6,30,68,4.8571428571
20,16,7,29,68,5.2307692308
20,16,8,28,68,5.6666666667
20,16,9,27,68,6.1818181818
20,16,10,26,68,6.8
20,16,11,25,68,7.5555555556
20,16,12,24,68,8.5
20,16,13,23,68,9.7142857143
20,16,14,22,68,11.3333333333
20,16,15,21,68,13.6
20,16,16,20,68,17
20,16,17,19,68,22.6666666667
20,16,18,18,68,34
20,16,19,17,68,68
21,15,2,34,68,3.5789473684
21,15,3,33,68,3.7777777778
21,15,4,32,68,4
21,15,5,31,68,4.25
21,15,6,30,68,4.5333333333
21,15,7,29,68,4.8571428571
21,15,8,28,68,5.2307692308
21,15,9,27,68,5.6666666667
21,15,10,26,68,6.1818181818
21,15,11,25,68,6.8
21,15,12,24,68,7.5555555556
21,15,13,23,68,8.5
21,15,14,22,68,9.7142857143
21,15,15,21,68,11.3333333333
21,15,16,20,68,13.6
21,15,17,19,68,17
21,15,18,18,68,22.6666666667
21,15,19,17,68,34
21,15,20,16,68,68
22,14,2,34,68,3.4
22,14,3,33,68,3.5789473684
22,14,4,32,68,3.7777777778
22,14,5,31,68,4
22,14,6,30,68,4.25
22,14,7,29,68,4.5333333333
22,14,8,28,68,4.8571428571
22,14,9,27,68,5.2307692308
22,14,10,26,68,5.6666666667
22,14,11,25,68,6.1818181818
22,14,12,24,68,6.8
22,14,13,23,68,7.5555555556
22,14,14,22,68,8.5
22,14,15,21,68,9.7142857143
22,14,16,20,68,11.3333333333
22,14,17,19,68,13.6
22,14,18,18,68,17
22,14,19,17,68,22.6666666667
22,14,20,16,68,34
22,14,21,15,68,68
23,13,2,34,68,3.2380952381
23,13,3,33,68,3.4
23,13,4,32,68,3.5789473684
23,13,5,31,68,3.7777777778
23,13,6,30,68,4
23,13,7,29,68,4.25
23,13,8,28,68,4.5333333333
23,13,9,27,68,4.8571428571
23,13,10,26,68,5.2307692308
23,13,11,25,68,5.6666666667
23,13,12,24,68,6.1818181818
23,13,13,23,68,6.8
23,13,14,22,68,7.5555555556
23,13,15,21,68,8.5
23,13,16,20,68,9.7142857143
23,13,17,19,68,11.3333333333
23,13,18,18,68,13.6
23,13,19,17,68,17
23,13,20,16,68,22.6666666667
23,13,21,15,68,34
23,13,22,14,68,68
24,12,2,34,68,3.0909090909
24,12,3,33,68,3.2380952381
24,12,4,32,68,3.4
24,12,5,31,68,3.5789473684
24,12,6,30,68,3.7777777778
24,12,7,29,68,4
24,12,8,28,68,4.25
24,12,9,27,68,4.5333333333
24,12,10,26,68,4.8571428571
24,12,11,25,68,5.2307692308
24,12,12,24,68,5.6666666667
24,12,13,23,68,6.1818181818
24,12,14,22,68,6.8
24,12,15,21,68,7.5555555556
24,12,16,20,68,8.5
24,12,17,19,68,9.7142857143
24,12,18,18,68,11.3333333333
24,12,19,17,68,13.6
24,12,20,16,68,17
24,12,21,15,68,22.6666666667
24,12,22,14,68,34
24,12,23,13,68,68
25,11,2,34,68,2.9565217391
25,11,3,33,68,3.0909090909
25,11,4,32,68,3.2380952381
25,11,5,31,68,3.4
25,11,6,30,68,3.5789473684
25,11,7,29,68,3.7777777778
25,11,8,28,68,4
25,11,9,27,68,4.25
25,11,10,26,68,4.5333333333
25,11,11,25,68,4.8571428571
25,11,12,24,68,5.2307692308
25,11,13,23,68,5.6666666667
25,11,14,22,68,6.1818181818
25,11,15,21,68,6.8
25,11,16,20,68,7.5555555556
25,11,17,19,68,8.5
25,11,18,18,68,9.7142857143
25,11,19,17,68,11.3333333333
25,11,20,16,68,13.6
25,11,21,15,68,17
25,11,22,14,68,22.6666666667
25,11,23,13,68,34
25,11,24,12,68,68
26,10,2,34,68,2.8333333333
26,10,3,33,68,2.9565217391
26,10,4,32,68,3.0909090909
26,10,5,31,68,3.2380952381
26,10,6,30,68,3.4
26,10,7,29,68,3.5789473684
26,10,8,28,68,3.7777777778
26,10,9,27,68,4
26,10,10,26,68,4.25
26,10,11,25,68,4.5333333333
26,10,12,24,68,4.8571428571
26,10,13,23,68,5.2307692308
26,10,14,22,68,5.6666666667
26,10,15,21,68,6.1818181818
26,10,16,20,68,6.8
26,10,17,19,68,7.5555555556
26,10,18,18,68,8.5
26,10,19,17,68,9.7142857143
26,10,20,16,68,11.3333333333
26,10,21,15,68,13.6
26,10,22,14,68,17
26,10,23,13,68,22.6666666667
26,10,24,12,68,34
26,10,25,11,68,68
27,9,2,34,68,2.72
27,9,3,33,68,2.8333333333
27,9,4,32,68,2.9565217391
27,9,5,31,68,3.0909090909
27,9,6,30,68,3.2380952381
27,9,7,29,68,3.4
27,9,8,28,68,3.5789473684
27,9,9,27,68,3.7777777778
27,9,10,26,68,4
27,9,11,25,68,4.25
27,9,12,24,68,4.5333333333
27,9,13,23,68,4.8571428571
27,9,14,22,68,5.2307692308
27,9,15,21,68,5.6666666667
27,9,16,20,68,6.1818181818
27,9,17,19,68,6.8
27,9,18,18,68,7.5555555556
27,9,19,17,68,8.5
27,9,20,16,68,9.7142857143
27,9,21,15,68,11.3333333333
27,9,22,14,68,13.6
27,9,23,13,68,17
27,9,24,12,68,22.6666666667
27,9,25,11,68,34
27,9,26,10,68,68
28,8,2,34,68,2.6153846154
28,8,3,33,68,2.72
28,8,4,32,68,2.8333333333
28,8,5,31,68,2.9565217391
28,8,6,30,68,3.0909090909
28,8,7,29,68,3.2380952381
28,8,8,28,68,3.4
28,8,9,27,68,3.5789473684
28,8,10,26,68,3.7777777778
28,8,11,25,68,4
28,8,12,24,68,4.25
28,8,13,23,68,4.5333333333
28,8,14,22,68,4.8571428571
28,8,15,21,68,5.2307692308
28,8,16,20,68,5.6666666667
28,8,17,19,68,6.1818181818
28,8,18,18,68,6.8
28,8,19,17,68,7.5555555556
28,8,20,16,68,8.5
28,8,21,15,68,9.7142857143
28,8,22,14,68,11.3333333333
28,8,23,13,68,13.6
28,8,24,12,68,17
28,8,25,11,68,22.6666666667
28,8,26,10,68,34
28,8,27,9,68,68
29,7,2,34,68,2.5185185185
29,7,3,33,68,2.6153846154
29,7,4,32,68,2.72
29,7,5,31,68,2.8333333333
29,7,6,30,68,2.9565217391
29,7,7,29,68,3.0909090909
29,7,8,28,68,3.2380952381
29,7,9,27,68,3.4
29,7,10,26,68,3.5789473684
29,7,11,25,68,3.7777777778
29,7,12,24,68,4
29,7,13,23,68,4.25
29,7,14,22,68,4.5333333333
29,7,15,21,68,4.8571428571
29,7,16,20,68,5.2307692308
29,7,17,19,68,5.6666666667
29,7,18,18,68,6.1818181818
29,7,19,17,68,6.8
29,7,20,16,68,7.5555555556
29,7,21,15,68,8.5
29,7,22,14,68,9.7142857143
29,7,23,13,68,11.3333333333
29,7,24,12,68,13.6
29,7,25,11,68,17
29,7,26,10,68,22.6666666667
29,7,27,9,68,34
29,7,28,8,68,68
30,6,2,34,68,2.4285714286
30,6,3,33,68,2.5185185185
30,6,4,32,68,2.6153846154
30,6,5,31,68,2.72
30,6,6,30,68,2.8333333333
30,6,7,29,68,2.9565217391
30,6,8,28,68,3.0909090909
30,6,9,27,68,3.2380952381
30,6,10,26,68,3.4
30,6,11,25,68,3.5789473684
30,6,12,24,68,3.7777777778
30,6,13,23,68,4
30,6,14,22,68,4.25
30,6,15,21,68,4.5333333333
30,6,16,20,68,4.8571428571
30,6,17,19,68,5.2307692308
30,6,18,18,68,5.6666666667
30,6,19,17,68,6.1818181818
30,6,20,16,68,6.8
30,6,21,15,68,7.5555555556
30,6,22,14,68,8.5
30,6,23,13,68,9.7142857143
30,6,24,12,68,11.3333333333
30,6,25,11,68,13.6
30,6,26,10,68,17
30,6,27,9,68,22.6666666667
30,6,28,8,68,34
30,6,29,7,68,68
31,5,2,34,68,2.3448275862
31,5,3,33,68,2.4285714286
31,5,4,32,68,2.5185185185
31,5,5,31,68,2.6153846154
31,5,6,30,68,2.72
